observer,oc,oceu,ocel,date,source
Tieman b.,-4.32,1.3104,1.3104,2009-08-12 17:48:33.120000000,ETD
Branco r.,-5.472,6.3648,6.3648,2009-07-31 12:58:02.783999744,ETD
Wiggins,-0.288,1.296,1.296,2009-07-22 19:53:36.960000000,ETD
Wiggins,-1.872,2.016,2.016,2009-07-15 20:32:21.119999744,ETD
Arena,-4.176,1.872,1.872,2009-07-12 08:50:12.479999744,ETD
Evans p.,-0.144,0.7632,0.7632,2009-07-01 21:54:51.839999744,ETD
Littlefield,0.432,1.44,1.44,2009-06-26 16:25:40.800000256,ETD
Tieman b.,-0.288,1.4544,1.4544,2009-05-29 19:06:13.536000000,ETD
Sauer t.,-1.44,0.36,0.36,2009-05-24 13:35:24.000000256,ETD
"P. veres, p. budaj, j.vilagi, a.galad, l. kornos",2.016,4.32,4.32,2008-08-27 09:41:54.240000000,ETD
Foote,-0.432,2.16,2.16,2008-08-23 21:59:36.960000256,ETD
Roe,5.184,2.16,2.16,2008-08-18 16:35:28.320000000,ETD
Mendez,1.152,2.16,2.16,2008-08-13 11:01:40.799999744,ETD
Ohlert j.,-2.88,0.36,0.36,2008-08-06 11:37:58.943999744,ETD
Naves,-3.456,1.008,1.008,2008-08-06 11:37:23.519999744,ETD
Roe,-4.896,2.016,2.016,2008-08-04 17:46:01.919999744,ETD
Mendez,-18.864,1.728,1.728,2008-07-30 12:02:18.240000256,ETD
Roe,-15.12,1.152,1.152,2008-07-28 18:16:07.680000000,ETD
Roe,-20.16,1.44,1.44,2008-07-28 18:11:05.280000256,ETD
Ohlert j.,-1.152,0.3312,0.3312,2008-07-23 13:00:27.935999744,ETD
Johannes ohlert,-1.152,0.3312,0.3312,2008-07-23 13:00:27.935999744,ETD
Ayiomamitis,1.872,1.584,1.584,2008-06-06 11:35:39.839999744,ETD
Kleidis,1.152,1.584,1.584,2008-06-06 11:34:56.640000256,ETD
Alonso et al. 2008,-0.2,0.2,0.2,2007-05-16 12:52:20.908813568,ExoClock literature
Corot,-1.296,0.2016,0.2016,2007-05-16 12:51:17.568000256,ETD
Rauer et al. 2010,2.0,4.3,4.3,2005-08-04 09:35:59.990416512,ExoClock literature
Best ii,0.576,4.32,4.32,2005-08-04 09:34:33.599999744,ETD
Rauer et al. 2010,6.3,5.8,5.8,2005-07-28 10:20:38.227227392,ExoClock literature
Best ii,4.896,5.76,5.76,2005-07-28 10:19:12.000000000,ETD
Best ii,22.176,4.32,4.32,2005-07-14 11:57:07.200000000,ETD
