observer,oc,oceu,ocel,date,source
Alessandro Marchini,-0.3,1.3,1.3,2009-01-30 10:33:37.868542720,ExoClock observation
Marchini a.,-1.152,1.296,1.296,2009-01-30 10:32:50.207999744,ETD
Zambelli r.,-1.728,1.4832,1.4832,2009-01-30 10:32:13.055999744,ETD
Papini r.,-2.736,1.4544,1.4544,2009-01-30 10:31:12.576000000,ETD
Beaulieu et al. 2011,-0.9,0.1,0.1,2009-01-27 19:05:49.123661312,ExoClock literature
Gary,-3.312,1.152,1.152,2009-01-27 19:03:21.600000256,ETD
Gregorio,0.864,2.592,2.592,2008-11-22 16:47:16.800000256,ETD
Roe,0.432,0.72,0.72,2008-05-21 15:02:00.960000000,ETD
Sbo 24”,5.184,1.6992,1.6992,2008-05-13 16:45:02.880000256,ETD
Apo 3.5m,0.144,1.2096,1.2096,2008-05-05 18:18:26.784000000,ETD
Sbo 24”,-1.008,2.5488,2.5488,2008-05-05 18:17:18.528000256,ETD
Cc 11”,-2.16,2.016,2.016,2008-05-05 18:16:10.271999744,ETD
Roe,-5.76,1.44,1.44,2008-05-05 18:12:31.679999744,ETD
Mendez,3.168,1.44,1.44,2008-04-30 11:27:01.439999744,ETD
Nmsu 1m,2.88,1.6848,1.6848,2008-04-27 19:59:32.064000256,ETD
Apo 3.5m,-0.288,0.504,0.504,2008-04-27 19:56:24.576000256,ETD
Gary,-0.432,2.016,2.016,2008-04-27 19:56:12.480000000,ETD
Sbo 24”,-3.312,2.3904,2.3904,2008-04-27 19:53:17.952000000,ETD
Naves,-4.176,2.592,2.592,2008-04-22 12:58:01.920000000,ETD
Hentunen,-8.784,3.6,3.6,2008-04-22 12:53:25.440000000,ETD
Rodriguez,-1.44,3.888,3.888,2008-04-14 14:39:07.200000256,ETD
Apo 3.5m,-0.144,0.7344,0.7344,2008-04-06 16:18:44.352000000,ETD
Nmsu 1m,-0.576,3.7008,3.7008,2008-04-06 16:18:17.567999744,ETD
Lopresti c.,0.72,1.4256,1.4256,2008-04-01 09:25:11.135999744,ETD
Mendez,0.432,2.592,2.592,2008-04-01 09:24:54.720000000,ETD
Hentunen,-1.584,1.44,1.44,2008-03-24 11:01:14.879999744,ETD
Naves,-2.592,1.872,1.872,2008-03-24 11:00:14.400000000,ETD
Gary,-1.584,2.016,2.016,2008-03-21 19:34:01.920000256,ETD
Naves,-2.448,2.016,2.016,2008-03-16 12:38:44.159999744,ETD
Alonso et al. 2008,-0.5,0.2,0.2,2008-03-08 14:19:05.505407488,ExoClock literature
Alonso et al. (2008),-1.152,0.2016,0.2016,2008-03-08 14:18:23.904000000,ETD
