name,priority,total_observations,recent_observations,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,depth_mmag,duration_hours,t0_bjd_tdb,t0_unc,period_days,period_unc,current_oc_min,min_telescope_inches,expected_transit_snr_tess
WASP-77Ab,low,25,5,02:28:37.226,-07:03:38.39,10.12,10.23,10.097,22.93,2.18,2456663.34757,0.00012,1.36002922,1.3e-07,-0.86,5.0,105.84
WASP-78b,medium,3,0,04:15:01.5043,-22:06:59.103,11.96,12.43,12.188,8.0,4.8,2456922.0975,0.0003,2.1751852,5e-07,0.6,10.48,16.77
WASP-79b,medium,2,0,04:25:29.0168,-30:36:01.610,10.04,9.802,9.972,15.42,3.85,2458200.47327,0.00018,3.6623925,2.1e-06,-5.5,5.0,94.18
WASP-80b,low,20,0,20:12:40.1691,-02:08:39.191,11.939,11.51,11.273,40.26,2.14,2456671.49615,4e-05,3.06785271,1.9e-07,-0.33,5.0,120.72
WASP-81b,low,13,0,20:16:49.8900,+03:17:38.454,12.47,12.37,12.333,16.66,3.5,2456969.77318,0.0002,2.7164835,4e-07,1.0,6.21,28.44
WASP-82b,medium,1,0,04:50:38.5586,+01:53:38.103,10.07,9.702,9.898,8.16,5.1,2456931.8452,0.0008,2.705785,2e-06,-2.0,5.82,60.83
WASP-83b,medium,4,0,12:40:36.4947,-19:17:03.470,12.88,11.766,12.008,13.86,3.42,2457121.9961,0.0003,4.9712917,1.2e-06,1.5,5.16,29.32
WASP-84b,low,17,11,08:44:25.7032,+01:51:36.106,10.83,10.327,10.575,19.92,2.75,2456422.48255,0.00014,8.523499,4e-06,-1.93,5.0,85.59
WASP-85Ab,low,8,1,11:43:38.0162,+06:33:49.419,10.41,10.34,10.624,25.23,2.64,2456847.472867,1e-05,2.6556765,4e-07,-1.5,5.0,104.22
WASP-87b,low,4,3,12:21:17.9260,-52:50:26.999,10.73,10.513,10.709,9.08,3.05,2457082.07733,0.00021,1.682795,1.9e-06,-1.8,6.23,35.24
WASP-88b,medium,2,0,20:38:02.6869,-48:27:43.425,11.4,11.282,11.478,9.18,6.07,2458005.5181,0.0006,4.9540021,2.2e-06,0.0,6.32,32.47
